Period,Americas,Developed Europe,Rest of World,Total Global
2025 Q2,45.20,46.00,25.20,116.40
2025 Q1,43.70,39.00,21.80,104.50
2024 FY,136.40,136.30,72.70,345.40
2023 FY,119.00,147.70,56.50,323.20
2022 FY,131.60,149.80,35.90,317.30
2020 FY,57.00,60.80,32.20,150.00
2019 FY,233.90,230.30,152.50,616.70
2017 FY,338.10,324.50,222.10,884.70
